Metric,Training,Test
R²,0.92056525893455,0.88473166483541
MSE,5.252319310461998e-07,4.093971642036685e-07
RMSE,0.000724728867264303,0.0006398415149110509
MAE,0.0005025355458967909,0.000480857236519194
MAPE,8.414819361747005,8.35251650654346
MAPE_Alt,8.414819361747005,8.35251650654346
sMAPE,8.202723878998206,8.127593398632065
MASE,0.21367043523136905,0.22991095292331054
MAD,0.0016461566417818741,0.0014871680087271057
CV-RMSE,11.78674065441823,10.472836397713957
CV-MAE,8.173065013224868,7.870603972020238
CV_R2_Mean,-0.1930651601653579,
CV_R2_Std,1.0467317528375861,
CV_RMSE_Mean,0.002218448624162901,
CV_RMSE_Std,0.0008004883236136965,
CV_MAE_Mean,0.0012081328673711363,
CV_MAE_Std,0.00017205139614184507,
