"Time","snap topic"
"2023-05-28","80"
"2023-06-04","81"
"2023-06-11","87"
"2023-06-18","61"
"2023-06-25","84"
"2023-07-02","78"
"2023-07-09","93"
"2023-07-16","85"
"2023-07-23","81"
"2023-07-30","97"
"2023-08-06","100"
"2023-08-13","85"
"2023-08-20","98"
"2023-08-27","91"
"2023-09-03","88"
"2023-09-10","84"
"2023-09-17","91"
"2023-09-24","84"
"2023-10-01","96"
"2023-10-08","80"
"2023-10-15","70"
"2023-10-22","58"
"2023-10-29","70"
"2023-11-05","74"
"2023-11-12","64"
"2023-11-19","41"
"2023-11-26","72"
"2023-12-03","76"
"2023-12-10","83"
"2023-12-17","65"
"2023-12-24","55"
"2023-12-31","79"
"2024-01-07","92"
"2024-01-14","77"
"2024-01-21","86"
"2024-01-28","74"
"2024-02-04","86"
"2024-02-11","67"
"2024-02-18","67"
"2024-02-25","54"
"2024-03-03","72"
"2024-03-10","58"
"2024-03-17","65"
"2024-03-24","70"
"2024-03-31","85"
"2024-04-07","79"
"2024-04-14","61"
"2024-04-21","62"
"2024-04-28","75"
"2024-05-05","66"
"2024-05-12","67"
"2024-05-19","66"
"2024-05-26","68"
