"Time","snap topic"
"2017-01-01","70"
"2017-01-08","61"
"2017-01-15","69"
"2017-01-22","81"
"2017-01-29","90"
"2017-02-05","91"
"2017-02-12","70"
"2017-02-19","76"
"2017-02-26","100"
"2017-03-05","96"
"2017-03-12","77"
"2017-03-19","59"
"2017-03-26","46"
"2017-04-02","65"
"2017-04-09","68"
"2017-04-16","60"
"2017-04-23","54"
"2017-04-30","73"
"2017-05-07","64"
"2017-05-14","61"
"2017-05-21","85"
"2017-05-28","67"
"2017-06-04","96"
"2017-06-11","63"
"2017-06-18","73"
"2017-06-25","81"
"2017-07-02","89"
"2017-07-09","92"
"2017-07-16","71"
"2017-07-23","69"
"2017-07-30","96"
"2017-08-06","100"
"2017-08-13","71"
"2017-08-20","46"
"2017-08-27","67"
"2017-09-03","75"
"2017-09-10","67"
"2017-09-17","54"
"2017-09-24","71"
"2017-10-01","83"
"2017-10-08","76"
"2017-10-15","57"
"2017-10-22","61"
"2017-10-29","70"
"2017-11-05","76"
"2017-11-12","61"
"2017-11-19","57"
"2017-11-26","64"
"2017-12-03","86"
"2017-12-10","73"
"2017-12-17","59"
"2017-12-24","50"
"2017-12-31","73"
