"Time","food stamps"
"2022-06-26","65"
"2022-07-03","62"
"2022-07-10","98"
"2022-07-17","83"
"2022-07-24","59"
"2022-07-31","46"
"2022-08-07","75"
"2022-08-14","88"
"2022-08-21","60"
"2022-08-28","64"
"2022-09-04","65"
"2022-09-11","57"
"2022-09-18","66"
"2022-09-25","64"
"2022-10-02","100"
"2022-10-09","99"
"2022-10-16","71"
"2022-10-23","47"
"2022-10-30","95"
"2022-11-06","61"
"2022-11-13","82"
"2022-11-20","85"
"2022-11-27","66"
"2022-12-04","52"
"2022-12-11","52"
"2022-12-18","53"
"2022-12-25","43"
"2023-01-01","43"
"2023-01-08","61"
"2023-01-15","66"
"2023-01-22","58"
"2023-01-29","44"
"2023-02-05","98"
"2023-02-12","39"
"2023-02-19","30"
"2023-02-26","43"
"2023-03-05","41"
"2023-03-12","41"
"2023-03-19","87"
"2023-03-26","34"
"2023-04-02","51"
"2023-04-09","30"
"2023-04-16","48"
"2023-04-23","53"
"2023-04-30","44"
"2023-05-07","0"
"2023-05-14","61"
"2023-05-21","39"
"2023-05-28","49"
"2023-06-04","52"
"2023-06-11","38"
"2023-06-18","40"
"2023-06-25","42"
