"Time","food bank near me"
"2022-06-26","54"
"2022-07-03","80"
"2022-07-10","75"
"2022-07-17","81"
"2022-07-24","0"
"2022-07-31","62"
"2022-08-07","72"
"2022-08-14","57"
"2022-08-21","52"
"2022-08-28","0"
"2022-09-04","50"
"2022-09-11","0"
"2022-09-18","48"
"2022-09-25","50"
"2022-10-02","78"
"2022-10-09","85"
"2022-10-16","65"
"2022-10-23","73"
"2022-10-30","53"
"2022-11-06","50"
"2022-11-13","100"
"2022-11-20","82"
"2022-11-27","50"
"2022-12-04","52"
"2022-12-11","66"
"2022-12-18","68"
"2022-12-25","0"
"2023-01-01","68"
"2023-01-08","52"
"2023-01-15","52"
"2023-01-22","63"
"2023-01-29","85"
"2023-02-05","63"
"2023-02-12","58"
"2023-02-19","66"
"2023-02-26","70"
"2023-03-05","40"
"2023-03-12","44"
"2023-03-19","73"
"2023-03-26","0"
"2023-04-02","97"
"2023-04-09","63"
"2023-04-16","58"
"2023-04-23","58"
"2023-04-30","66"
"2023-05-07","65"
"2023-05-14","89"
"2023-05-21","65"
"2023-05-28","86"
"2023-06-04","50"
"2023-06-11","55"
"2023-06-18","47"
"2023-06-25","0"
