"Time","food bank near me"
"2018-10-28","0"
"2018-11-04","74"
"2018-11-11","56"
"2018-11-18","94"
"2018-11-25","100"
"2018-12-02","59"
"2018-12-09","0"
"2018-12-16","0"
"2018-12-23","0"
"2018-12-30","0"
"2019-01-06","0"
"2019-01-13","0"
"2019-01-20","0"
"2019-01-27","0"
"2019-02-03","0"
"2019-02-10","0"
"2019-02-17","68"
"2019-02-24","0"
"2019-03-03","0"
"2019-03-10","0"
"2019-03-17","0"
"2019-03-24","0"
"2019-03-31","65"
"2019-04-07","0"
"2019-04-14","0"
"2019-04-21","0"
"2019-04-28","0"
"2019-05-05","0"
"2019-05-12","63"
"2019-05-19","90"
"2019-05-26","0"
"2019-06-02","0"
"2019-06-09","0"
"2019-06-16","63"
"2019-06-23","78"
"2019-06-30","67"
"2019-07-07","65"
"2019-07-14","90"
"2019-07-21","0"
"2019-07-28","90"
"2019-08-04","97"
"2019-08-11","0"
"2019-08-18","0"
"2019-08-25","69"
"2019-09-01","72"
"2019-09-08","0"
"2019-09-15","84"
"2019-09-22","0"
"2019-09-29","53"
"2019-10-06","0"
"2019-10-13","0"
"2019-10-20","0"
"2019-10-27","77"
