"Time","food bank near me"
"2017-11-26","0"
"2017-12-03","0"
"2017-12-10","0"
"2017-12-17","64"
"2017-12-24","0"
"2017-12-31","0"
"2018-01-07","0"
"2018-01-14","0"
"2018-01-21","0"
"2018-01-28","0"
"2018-02-04","66"
"2018-02-11","0"
"2018-02-18","0"
"2018-02-25","50"
"2018-03-04","0"
"2018-03-11","0"
"2018-03-18","0"
"2018-03-25","54"
"2018-04-01","57"
"2018-04-08","0"
"2018-04-15","60"
"2018-04-22","50"
"2018-04-29","0"
"2018-05-06","0"
"2018-05-13","0"
"2018-05-20","0"
"2018-05-27","54"
"2018-06-03","0"
"2018-06-10","0"
"2018-06-17","0"
"2018-06-24","0"
"2018-07-01","0"
"2018-07-08","0"
"2018-07-15","56"
"2018-07-22","0"
"2018-07-29","99"
"2018-08-05","0"
"2018-08-12","0"
"2018-08-19","0"
"2018-08-26","0"
"2018-09-02","58"
"2018-09-09","65"
"2018-09-16","0"
"2018-09-23","0"
"2018-09-30","0"
"2018-10-07","52"
"2018-10-14","0"
"2018-10-21","100"
"2018-10-28","0"
"2018-11-04","68"
"2018-11-11","51"
"2018-11-18","86"
"2018-11-25","91"
