"Time","food bank near me"
"2022-06-26","70"
"2022-07-03","0"
"2022-07-10","45"
"2022-07-17","68"
"2022-07-24","54"
"2022-07-31","62"
"2022-08-07","0"
"2022-08-14","0"
"2022-08-21","53"
"2022-08-28","56"
"2022-09-04","0"
"2022-09-11","43"
"2022-09-18","0"
"2022-09-25","41"
"2022-10-02","0"
"2022-10-09","58"
"2022-10-16","0"
"2022-10-23","0"
"2022-10-30","78"
"2022-11-06","52"
"2022-11-13","100"
"2022-11-20","43"
"2022-11-27","0"
"2022-12-04","56"
"2022-12-11","44"
"2022-12-18","51"
"2022-12-25","0"
"2023-01-01","0"
"2023-01-08","0"
"2023-01-15","0"
"2023-01-22","56"
"2023-01-29","50"
"2023-02-05","46"
"2023-02-12","0"
"2023-02-19","0"
"2023-02-26","0"
"2023-03-05","43"
"2023-03-12","37"
"2023-03-19","0"
"2023-03-26","0"
"2023-04-02","0"
"2023-04-09","49"
"2023-04-16","65"
"2023-04-23","84"
"2023-04-30","56"
"2023-05-07","0"
"2023-05-14","0"
"2023-05-21","57"
"2023-05-28","0"
"2023-06-04","56"
"2023-06-11","51"
"2023-06-18","52"
"2023-06-25","55"
