"Time","snap topic"
"2018-10-28","48"
"2018-11-04","39"
"2018-11-11","0"
"2018-11-18","32"
"2018-11-25","39"
"2018-12-02","38"
"2018-12-09","0"
"2018-12-16","0"
"2018-12-23","28"
"2018-12-30","36"
"2019-01-06","56"
"2019-01-13","100"
"2019-01-20","51"
"2019-01-27","38"
"2019-02-03","31"
"2019-02-10","30"
"2019-02-17","27"
"2019-02-24","45"
"2019-03-03","0"
"2019-03-10","25"
"2019-03-17","0"
"2019-03-24","26"
"2019-03-31","28"
"2019-04-07","23"
"2019-04-14","0"
"2019-04-21","0"
"2019-04-28","47"
"2019-05-05","34"
"2019-05-12","41"
"2019-05-19","0"
"2019-05-26","26"
"2019-06-02","28"
"2019-06-09","27"
"2019-06-16","31"
"2019-06-23","0"
"2019-06-30","33"
"2019-07-07","33"
"2019-07-14","0"
"2019-07-21","42"
"2019-07-28","33"
"2019-08-04","58"
"2019-08-11","0"
"2019-08-18","23"
"2019-08-25","26"
"2019-09-01","39"
"2019-09-08","25"
"2019-09-15","23"
"2019-09-22","39"
"2019-09-29","33"
"2019-10-06","32"
"2019-10-13","23"
"2019-10-20","29"
"2019-10-27","41"
