"Time","Food bank"
"2022-06-26",42
"2022-07-03",46
"2022-07-10",59
"2022-07-17",52
"2022-07-24",49
"2022-07-31",49
"2022-08-07",42
"2022-08-14",41
"2022-08-21",57
"2022-08-28",51
"2022-09-04",48
"2022-09-11",47
"2022-09-18",48
"2022-09-25",59
"2022-10-02",56
"2022-10-09",55
"2022-10-16",55
"2022-10-23",45
"2022-10-30",50
"2022-11-06",55
"2022-11-13",85
"2022-11-20",78
"2022-11-27",64
"2022-12-04",50
"2022-12-11",51
"2022-12-18",62
"2022-12-25",42
"2023-01-01",40
"2023-01-08",52
"2023-01-15",49
"2023-01-22",49
"2023-01-29",51
"2023-02-05",58
"2023-02-12",45
"2023-02-19",54
"2023-02-26",58
"2023-03-05",81
"2023-03-12",78
"2023-03-19",93
"2023-03-26",73
"2023-04-02",95
"2023-04-09",88
"2023-04-16",99
"2023-04-23",88
"2023-04-30",80
"2023-05-07",74
"2023-05-14",84
"2023-05-21",95
"2023-05-28",95
"2023-06-04",100
"2023-06-11",86
"2023-06-18",92
"2023-06-25",91
