"Time","Food bank"
"2021-08-01",45
"2021-08-08",50
"2021-08-15",49
"2021-08-22",50
"2021-08-29",51
"2021-09-05",35
"2021-09-12",53
"2021-09-19",45
"2021-09-26",61
"2021-10-03",45
"2021-10-10",52
"2021-10-17",51
"2021-10-24",51
"2021-10-31",72
"2021-11-07",78
"2021-11-14",100
"2021-11-21",84
"2021-11-28",61
"2021-12-05",71
"2021-12-12",60
"2021-12-19",70
"2021-12-26",48
"2022-01-02",61
"2022-01-09",51
"2022-01-16",58
"2022-01-23",79
"2022-01-30",51
"2022-02-06",54
"2022-02-13",51
"2022-02-20",57
"2022-02-27",58
"2022-03-06",60
"2022-03-13",66
"2022-03-20",59
"2022-03-27",62
"2022-04-03",59
"2022-04-10",65
"2022-04-17",55
"2022-04-24",64
"2022-05-01",47
"2022-05-08",52
"2022-05-15",44
"2022-05-22",46
"2022-05-29",61
"2022-06-05",50
"2022-06-12",69
"2022-06-19",61
"2022-06-26",59
"2022-07-03",64
"2022-07-10",81
"2022-07-17",72
"2022-07-24",68
"2022-07-31",68
