"Time","Food bank"
"2018-10-28",79
"2018-11-04",100
"2018-11-11",92
"2018-11-18",93
"2018-11-25",79
"2018-12-02",74
"2018-12-09",87
"2018-12-16",79
"2018-12-23",55
"2018-12-30",60
"2019-01-06",54
"2019-01-13",72
"2019-01-20",82
"2019-01-27",69
"2019-02-03",53
"2019-02-10",56
"2019-02-17",62
"2019-02-24",62
"2019-03-03",61
"2019-03-10",49
"2019-03-17",59
"2019-03-24",57
"2019-03-31",53
"2019-04-07",50
"2019-04-14",53
"2019-04-21",59
"2019-04-28",58
"2019-05-05",58
"2019-05-12",52
"2019-05-19",70
"2019-05-26",58
"2019-06-02",66
"2019-06-09",50
"2019-06-16",54
"2019-06-23",61
"2019-06-30",41
"2019-07-07",50
"2019-07-14",64
"2019-07-21",55
"2019-07-28",61
"2019-08-04",50
"2019-08-11",43
"2019-08-18",60
"2019-08-25",61
"2019-09-01",51
"2019-09-08",58
"2019-09-15",59
"2019-09-22",64
"2019-09-29",74
"2019-10-06",67
"2019-10-13",68
"2019-10-20",73
"2019-10-27",92
