"Time","Food bank"
"2017-11-26",100
"2017-12-03",77
"2017-12-10",88
"2017-12-17",79
"2017-12-24",69
"2017-12-31",61
"2018-01-07",58
"2018-01-14",59
"2018-01-21",53
"2018-01-28",57
"2018-02-04",59
"2018-02-11",60
"2018-02-18",64
"2018-02-25",43
"2018-03-04",46
"2018-03-11",47
"2018-03-18",57
"2018-03-25",56
"2018-04-01",43
"2018-04-08",45
"2018-04-15",56
"2018-04-22",61
"2018-04-29",51
"2018-05-06",49
"2018-05-13",49
"2018-05-20",55
"2018-05-27",46
"2018-06-03",48
"2018-06-10",49
"2018-06-17",41
"2018-06-24",54
"2018-07-01",40
"2018-07-08",55
"2018-07-15",64
"2018-07-22",48
"2018-07-29",58
"2018-08-05",53
"2018-08-12",48
"2018-08-19",48
"2018-08-26",62
"2018-09-02",59
"2018-09-09",59
"2018-09-16",57
"2018-09-23",49
"2018-09-30",50
"2018-10-07",53
"2018-10-14",37
"2018-10-21",50
"2018-10-28",55
"2018-11-04",69
"2018-11-11",64
"2018-11-18",65
"2018-11-25",55
