Model,Train_R2,Test_R2,Train_MSE,Test_MSE,Train_MAE,Test_MAE,CV_R2_Mean,CV_R2_Std
Gradient Boosting,0.848871839746362,0.7463845401696398,9.992773235085521e-07,9.007629884174371e-07,0.0006188964725306711,0.0006663342100976386,0.3184746840926671,0.1602166521854359
XGBoost,0.9277824166579964,0.7058562491514238,4.775112280275113e-07,1.044706833786479e-06,0.000489982956248627,0.0006412061440140814,-0.3450349031860028,1.3166747413567264
Random Forest,0.9041945263292797,0.5594161307054027,6.334771570465266e-07,1.5648164469933104e-06,0.0002764055928353461,0.000696096918177211,0.28380172066848025,0.19784730111415388
Lasso Regression,0.22458552859437453,0.34697429519876755,5.12713247018674e-06,2.319343567476581e-06,0.0012656797114839306,0.0011288763089968958,0.16998276318890235,0.10801298825266192
Linear Regression,0.2551383250908944,0.33904556555879517,4.925113755358847e-06,2.3475039414917634e-06,0.0012275931476333892,0.0011570842501875472,-0.0028603173232743416,0.3222827709716204
Ridge Regression,0.2445834054638134,0.32552300503924014,4.994904136033738e-06,2.3955318575848814e-06,0.0012401148923488496,0.0011633601148220813,0.18045525639610496,0.11190386184879854
Support Vector Regression,-115.84823034970388,-216.28323929386593,0.0007726143604514114,0.0007717222762771582,0.027721902482611742,0.027715890537106012,-169.33045330052872,96.09602003640462
Neural Network (MLP),-310550549.239984,-759050528.9758836,2053.397077931075,2695.910668057263,17.715883786511785,19.1377180569871,-2224109113.6683254,1921236829.017266
