"Time","snap topic"
"2018-10-28","30"
"2018-11-04","39"
"2018-11-11","39"
"2018-11-18","29"
"2018-11-25","33"
"2018-12-02","41"
"2018-12-09","41"
"2018-12-16","42"
"2018-12-23","31"
"2018-12-30","52"
"2019-01-06","74"
"2019-01-13","100"
"2019-01-20","66"
"2019-01-27","35"
"2019-02-03","38"
"2019-02-10","35"
"2019-02-17","44"
"2019-02-24","42"
"2019-03-03","42"
"2019-03-10","37"
"2019-03-17","30"
"2019-03-24","28"
"2019-03-31","44"
"2019-04-07","33"
"2019-04-14","34"
"2019-04-21","47"
"2019-04-28","42"
"2019-05-05","43"
"2019-05-12","39"
"2019-05-19","37"
"2019-05-26","35"
"2019-06-02","47"
"2019-06-09","44"
"2019-06-16","39"
"2019-06-23","33"
"2019-06-30","38"
"2019-07-07","48"
"2019-07-14","35"
"2019-07-21","71"
"2019-07-28","42"
"2019-08-04","46"
"2019-08-11","50"
"2019-08-18","42"
"2019-08-25","41"
"2019-09-01","45"
"2019-09-08","41"
"2019-09-15","35"
"2019-09-22","41"
"2019-09-29","41"
"2019-10-06","41"
"2019-10-13","43"
"2019-10-20","38"
"2019-10-27","34"
