"Time","snap topic"
"2023-05-28","100"
"2023-06-04","90"
"2023-06-11","72"
"2023-06-18","71"
"2023-06-25","81"
"2023-07-02","78"
"2023-07-09","83"
"2023-07-16","76"
"2023-07-23","89"
"2023-07-30","88"
"2023-08-06","89"
"2023-08-13","85"
"2023-08-20","90"
"2023-08-27","90"
"2023-09-03","93"
"2023-09-10","74"
"2023-09-17","82"
"2023-09-24","92"
"2023-10-01","85"
"2023-10-08","76"
"2023-10-15","68"
"2023-10-22","59"
"2023-10-29","76"
"2023-11-05","74"
"2023-11-12","73"
"2023-11-19","47"
"2023-11-26","68"
"2023-12-03","80"
"2023-12-10","66"
"2023-12-17","67"
"2023-12-24","58"
"2023-12-31","85"
"2024-01-07","83"
"2024-01-14","75"
"2024-01-21","68"
"2024-01-28","69"
"2024-02-04","92"
"2024-02-11","58"
"2024-02-18","60"
"2024-02-25","61"
"2024-03-03","74"
"2024-03-10","55"
"2024-03-17","56"
"2024-03-24","68"
"2024-03-31","80"
"2024-04-07","68"
"2024-04-14","56"
"2024-04-21","57"
"2024-04-28","65"
"2024-05-05","64"
"2024-05-12","66"
"2024-05-19","65"
"2024-05-26","57"
