"Time","snap topic"
"2018-10-28","28"
"2018-11-04","45"
"2018-11-11","32"
"2018-11-18","24"
"2018-11-25","31"
"2018-12-02","31"
"2018-12-09","34"
"2018-12-16","38"
"2018-12-23","27"
"2018-12-30","39"
"2019-01-06","55"
"2019-01-13","100"
"2019-01-20","66"
"2019-01-27","37"
"2019-02-03","42"
"2019-02-10","30"
"2019-02-17","33"
"2019-02-24","38"
"2019-03-03","37"
"2019-03-10","29"
"2019-03-17","22"
"2019-03-24","34"
"2019-03-31","31"
"2019-04-07","34"
"2019-04-14","38"
"2019-04-21","37"
"2019-04-28","41"
"2019-05-05","23"
"2019-05-12","42"
"2019-05-19","36"
"2019-05-26","27"
"2019-06-02","42"
"2019-06-09","38"
"2019-06-16","32"
"2019-06-23","35"
"2019-06-30","39"
"2019-07-07","35"
"2019-07-14","28"
"2019-07-21","44"
"2019-07-28","29"
"2019-08-04","37"
"2019-08-11","36"
"2019-08-18","40"
"2019-08-25","31"
"2019-09-01","34"
"2019-09-08","33"
"2019-09-15","31"
"2019-09-22","28"
"2019-09-29","35"
"2019-10-06","29"
"2019-10-13","28"
"2019-10-20","40"
"2019-10-27","33"
