"Time","snap topic"
"2017-01-01","0"
"2017-01-08","0"
"2017-01-15","59"
"2017-01-22","0"
"2017-01-29","0"
"2017-02-05","52"
"2017-02-12","0"
"2017-02-19","46"
"2017-02-26","100"
"2017-03-05","87"
"2017-03-12","54"
"2017-03-19","62"
"2017-03-26","0"
"2017-04-02","0"
"2017-04-09","0"
"2017-04-16","0"
"2017-04-23","0"
"2017-04-30","47"
"2017-05-07","48"
"2017-05-14","0"
"2017-05-21","75"
"2017-05-28","52"
"2017-06-04","0"
"2017-06-11","0"
"2017-06-18","0"
"2017-06-25","0"
"2017-07-02","0"
"2017-07-09","0"
"2017-07-16","0"
"2017-07-23","58"
"2017-07-30","64"
"2017-08-06","0"
"2017-08-13","55"
"2017-08-20","0"
"2017-08-27","0"
"2017-09-03","65"
"2017-09-10","0"
"2017-09-17","0"
"2017-09-24","0"
"2017-10-01","0"
"2017-10-08","0"
"2017-10-15","0"
"2017-10-22","0"
"2017-10-29","60"
"2017-11-05","60"
"2017-11-12","46"
"2017-11-19","0"
"2017-11-26","0"
"2017-12-03","53"
"2017-12-10","52"
"2017-12-17","0"
"2017-12-24","0"
"2017-12-31","0"
