target_month,r2,rmse,mae,smape
2023-02-01,-0.038766666415190665,0.0020178121007489837,0.001668788405269171,27.951750602037446
2023-03-01,-0.7217102979947871,0.002018441349452562,0.0016276514198177768,30.635185156667422
2023-04-01,-0.08056443558029214,0.0017339830913437133,0.0014790457473340287,26.043233595141775
2023-05-01,-0.1761301355764937,0.0018812539490749279,0.0015794807603957538,29.060024684519465
2023-06-01,-0.2162168877489865,0.0018191452799877497,0.001507131902389471,28.262899331826336
2023-07-01,-0.09975124101534272,0.0025755081552694633,0.0019451696029511936,28.72747939244644
2023-08-01,-0.023294293377711606,0.001951298181861276,0.001532551370889843,27.34774433921268
2023-09-01,-0.022355511822261365,0.0021806845053921127,0.0016957180519702512,26.67570509153964
2023-10-01,-0.005807586801996223,0.0018407392428798546,0.0014929865394785124,25.45480345386768
2023-11-01,-0.3125005359532256,0.0016645836611783532,0.0013083289781422242,25.04162820477533
2023-12-01,-0.2514935017646094,0.0022054850020387013,0.001863567803415596,27.92073296103281
2024-01-01,-0.03466629025572021,0.001714623407257747,0.0013467449777779846,24.03509175098146
2024-02-01,-0.2021903013224846,0.0016536846970714853,0.0012936686340125384,24.4149137247131
2024-03-01,-0.1212628648354468,0.0016211058838870751,0.0013226559902781555,24.237729818446223
2024-04-01,-0.08870495876447482,0.0016677570430365695,0.0013806320796622429,25.136081536209183
2024-05-01,-0.32841963658800544,0.0016033897563738136,0.0012794670123599397,24.72275997305283
2024-06-01,-0.004054260775147922,0.0017466126445719933,0.001451264178684738,24.568225091146783
2024-07-01,-0.0802059595294562,0.0024372133679899113,0.001878353263157669,28.654293894961913
2024-08-01,-0.0038354216658371687,0.0020081516306435687,0.0015344791916020045,25.164503705889285
2024-09-01,-0.05681299785722671,0.0022262987621565456,0.00163991934587798,25.275206969115548
2024-10-01,-0.12274724707308526,0.0017026361590260126,0.0013877273726048088,26.074863292403887
2024-11-01,-0.08673059305675324,0.0015406578969130572,0.0011902388078452518,22.29029258206954
2024-12-01,-0.1440401385647605,0.0021408403912098668,0.0017777743810314535,27.546692538057073
2025-01-01,-0.3191668880396221,0.001685761843342599,0.0012834282702434846,25.21205825809506
2025-02-01,-0.4769576462225953,0.0016342423345662468,0.0012892282632114913,25.30023723738385
