prediction_month,r2,rmse,mae,smape
2023-02-01,1.0,2.2772376880387402e-14,1.7561205518727786e-14,3.6558473025421956e-10
2023-03-01,1.0,1.3592809813661451e-14,1.0545091528016479e-14,2.638331990786449e-10
2023-04-01,1.0,2.4517326801104525e-16,2.4293356678158534e-16,4.631990477594236e-12
2023-05-01,1.0,4.851905695366808e-17,4.8064533383162264e-17,9.847371812865564e-13
2023-06-01,1.0,5.072587694904517e-17,4.982167125945294e-17,9.961793282788516e-13
2023-07-01,1.0,3.165592249860479e-17,2.5531807755467156e-17,4.604909010490749e-13
2023-08-01,1.0,6.642805403412646e-17,6.57677037829707e-17,1.2451095237256245e-12
2023-09-01,1.0,2.2958634556961427e-17,1.4645069345265736e-17,2.623579071791185e-13
2023-10-01,1.0,2.7306109346330047e-17,1.6463507705968566e-17,3.037931964221613e-13
2023-11-01,1.0,8.369877540810249e-17,8.220298131916511e-17,1.6823329405609863e-12
2023-12-01,1.0,2.139142099594856e-17,1.9245611393855898e-17,3.034160098329293e-13
2024-01-01,1.0,9.319408457000263e-17,9.277558145594479e-17,1.7608828615385725e-12
2024-02-01,1.0,5.215147478774368e-17,5.108433330435475e-17,1.0133149560370287e-12
2024-03-01,1.0,1.4517475498109133e-17,8.957177948072552e-18,1.8626918550692226e-13
2024-04-01,1.0,4.44645760354382e-17,4.15738385982873e-17,8.456787908578743e-13
2024-05-01,1.0,3.1719218806837496e-17,2.992397996059992e-17,5.831890203333115e-13
2024-06-01,1.0,3.71945209245945e-17,2.825728485623005e-17,4.79262683510602e-13
2024-07-01,1.0,4.418194205220007e-18,3.144186300207963e-18,5.4879164112327174e-14
2024-08-01,1.0,5.208810968256435e-17,4.897257812949909e-17,8.380320573958016e-13
2024-09-01,1.0,3.213805284915328e-17,3.0666241447916924e-17,4.926965779099564e-13
2024-10-01,1.0,8.269057552614636e-17,6.983929994148934e-17,1.2236645636438511e-12
2024-11-01,1.0,9.847020682422647e-17,6.965581957383795e-17,1.2169980251368346e-12
2024-12-01,1.0,1.8624531420892792e-17,1.727070284171027e-17,2.8951454513261467e-13
2025-01-01,1.0,8.576599932452415e-17,8.262896086307174e-17,1.8088018828063565e-12
2025-02-01,1.0,5.074247863689479e-17,4.557050543019465e-17,9.830326650126177e-13
