prediction_month,r2,rmse,mae,smape
2023-02-01,-18.11815893079884,0.008685883735628138,0.001645498788369177,10.185891595452617
2023-03-01,0.8497707653036091,0.0006646078059288397,0.0005034019687250562,9.569915794396776
2023-04-01,0.8541099163509059,0.0006345831902806756,0.00037460040986974724,6.12608404712229
2023-05-01,0.9269535134981939,0.000447877728145632,0.00036656089657841284,7.100420755713972
2023-06-01,0.95563993146797,0.00034774164910435245,0.00028177820069343214,5.717390705237121
2023-07-01,0.6717910285200416,0.0013449139599654683,0.0009453765593572397,13.841849165830759
2023-08-01,0.8923220366682236,0.0006439451147521035,0.00040175268666590964,7.274896262728752
2023-09-01,0.9148125344782522,0.0006173644390983678,0.00043357339926149017,6.625860627675459
2023-10-01,0.9213730153947819,0.0005193695136411356,0.0003975840494480032,6.7673253414639065
2023-11-01,0.7972948081816031,0.0006541665283933822,0.0004461482826297439,8.262411209944514
2023-12-01,0.9201653644573695,0.0005570388464866164,0.00047055016294190316,7.036113521710549
2024-01-01,0.9088280502503174,0.0005113541049179948,0.00036814541231215887,6.132459996611808
2024-02-01,0.8160139821414159,0.000646931811868178,0.0005317196023349008,9.670026729581092
2024-03-01,0.908752345088614,0.0004581594554790421,0.00040584629313864966,7.700194570217262
2024-04-01,0.9301217792327836,0.00042554336296512043,0.00030538651654771394,6.014163928794286
2024-05-01,0.9451116031905247,0.00032592054234971564,0.00028279679817770956,5.384270434849752
2024-06-01,0.9180098720512418,0.0004991128948607014,0.000439395004269096,7.505345830571986
2024-07-01,0.9058480989430119,0.0007126063971141932,0.0004498501468680084,6.370515057410387
2024-08-01,0.9223330975176849,0.0005585772409800968,0.00041113855526507564,6.304317813920056
2024-09-01,0.8780622984938691,0.0007562290805637229,0.00040411354770200696,5.652596920220087
2024-10-01,0.853439393119453,0.0006151619716248097,0.0004613124727204438,8.61891887972468
2024-11-01,0.9134937026173285,0.0004346794707816901,0.0002630320596889586,4.847879085140805
2024-12-01,0.9621685895807566,0.00038930494969350855,0.0003012425384032029,4.7786246599072495
2025-01-01,0.9212277233311851,0.00041086998930089133,0.0003258140982538545,6.729782465856969
2025-02-01,0.9311419715945165,0.00035286592943505876,0.0002671240443606856,5.352898142075522
