month,train_size,test_size,r2,rmse,mae,smape
2022-11,281,56,0.41573427941680485,0.0011484952068166222,0.0009259949049046789,15.644742087568893
2022-12,337,56,-0.02399068764270096,0.008188848958667378,0.0023257147546342652,20.912241683680616
2023-01,393,54,-7.992889824422715,0.0054734199174189015,0.0021224449879722637,26.259961619904953
2023-02,447,53,0.541796090287239,0.0015363353593266123,0.0008251585957993581,11.945535788048723
2023-03,500,49,0.4013100532289392,0.0012731594151593484,0.0011705871353050006,20.41523581293111
2023-04,549,52,0.7805588292912191,0.0007725435055245791,0.0006024236219042464,10.526498689404413
2023-05,601,55,0.8328292182180426,0.0007038288355077694,0.0005350945623015345,10.026123823678732
2023-06,656,54,0.7413623439467629,0.0008303980013559182,0.0006724526952610333,11.873439361227414
2023-07,710,56,0.5567920890433511,0.0016100671290269525,0.0009740319220301258,13.55440060532412
2023-08,766,55,0.679440043633852,0.0011030410229415646,0.0008744211512136429,15.088351489076612
2023-09,821,55,0.8071626915291339,0.0009293353988913625,0.0006944941814091453,10.697753388231938
2023-10,876,56,-3.5590999327017387,0.0039030422752643888,0.0012198337755968882,13.677747688111932
2023-11,932,56,0.6197312658226062,0.0008937413381225702,0.000730474590459138,13.377905514979307
2023-12,988,56,-2.5456790889538525,0.003646989168570457,0.0012918840753023447,13.086664249995275
2024-01,1044,56,0.8032261312612019,0.0007467766379540495,0.0005680935466912439,9.68805443456742
2024-02,1100,56,0.5305698019385421,0.0011117620149317731,0.0008878224927882337,14.957222323436566
2024-03,1156,56,0.8670496407222619,0.0006168326237364808,0.0004699210854353692,8.443358808907966
2024-04,1212,54,0.763154048861608,0.0007750557047597106,0.0005753666992040455,10.34050834750072
2024-05,1266,54,0.690959666366694,0.0007622036946697228,0.0005900365201618914,10.577057757116012
2024-06,1320,55,0.8703088982508396,0.000613377879279209,0.00047544228790529457,8.499555412063675
2024-07,1375,57,-1.5075902683964433,0.0037133702415141005,0.001329230159428905,15.335491028500034
2024-08,1432,55,0.6039994584394954,0.0012676380818082947,0.0009225350178596932,13.187022961638178
2024-09,1487,56,0.6717416294489594,0.0012385768392354894,0.0006724225403755829,9.532147626044276
2024-10,1543,55,0.6258016924266392,0.0009743275303491677,0.0008097645013252727,14.127064626228597
2024-11,1598,56,0.7464007321009529,0.000727941101046761,0.0005207001329002866,8.98712674711231
2024-12,1654,55,0.6969707243385248,0.0011015770778065475,0.0007493201419238979,11.310495209486886
2025-01,1709,56,-2.6137581348670684,0.003023991081550166,0.0011052533203473704,15.482212640196686
2025-02,1765,55,0.44643524674576784,0.0009722435367907985,0.0007843618556513698,14.10669136345174
