fold,val_month,train_size,val_size,n_spikes,r2,rmse,mae,smape,r2_spike,mae_spike
0,2023-06,435,42,1,0.9544018129861044,0.0003525611002855265,0.00028057735760126474,5.752730293939525,,0.00024283337225962723
1,2023-11,667,53,1,0.8869650519739601,0.000488497395150594,0.0003401560297493026,6.62253594493477,,0.0007740893757386628
2,2024-04,933,51,2,0.9412984191106002,0.0003900298094401925,0.00025235527322347705,5.040979558089628,0.5653990379049079,0.0014207197919447983
3,2024-09,1190,52,2,0.9668064734766798,0.0003945581959966938,0.0002470658821227362,3.7518288040785883,0.9999935474152293,1.042088023004914e-05
