month,train_size,test_size,r2,rmse,mae,smape
2022-11,281,56,0.42053599349488535,0.0011437660889096581,0.000905260437802798,14.836271398424428
2022-12,337,56,-0.026678817583902337,0.008199590395385965,0.0024024356215881747,23.43437988668041
2023-01,393,54,-1.9923327325186246,0.0031572870878316507,0.0018477644132896232,26.15774244728039
2023-02,447,53,-3.3071097677073995,0.00471031119854074,0.0014072640345321739,15.21146037718492
2023-03,500,49,0.3958188091833964,0.0012789848604776348,0.0011473218405525336,19.483758967143043
2023-04,549,52,0.7604488132292795,0.0008071663597696549,0.0006789371078881369,13.103587988272174
2023-05,601,55,0.8372322804479717,0.0006944980143678038,0.0005389688724749429,9.805980970038867
2023-06,656,54,0.7347816314090856,0.0008408958651931313,0.0006780224442307727,11.824504932125732
2023-07,710,56,0.45158729133620523,0.0017909934062523395,0.0010441443273690734,14.539631768825762
2023-08,766,55,0.6375807725846556,0.0011728504651991396,0.0009245486640766417,16.300872100372956
2023-09,821,55,0.7087097163247505,0.0011421941950380831,0.0008000658629493579,12.311406883182862
2023-10,876,56,0.6923709863177971,0.0010138584985698346,0.0007962282360359492,12.99750221744337
2023-11,932,56,0.31436514824178874,0.0012000876842713892,0.0008691593356098594,14.451927441071108
2023-12,988,56,0.7752798964028544,0.0009181332670880087,0.0006897521313422655,10.07765758198597
2024-01,1044,56,0.8048415355236496,0.000743705009985643,0.000569122522866365,9.844188253454575
2024-02,1100,56,0.5091457909303694,0.0011368484639781178,0.0008673909931896767,14.550591765951149
2024-03,1156,56,0.8396554061829686,0.0006774070908621967,0.0005076402532231459,9.192326898135763
2024-04,1212,54,0.7412908225641727,0.0008100388572780315,0.0005821950751650996,10.51385790569913
2024-05,1266,54,0.7056382385734057,0.0007438821954262179,0.000583583649959485,10.457483437035412
2024-06,1320,55,0.8500572680001742,0.0006595317836423938,0.0004913019012098575,8.879451331180574
2024-07,1375,57,0.5894241722867409,0.0015025767114197584,0.0009616352639892745,14.575938937253463
2024-08,1432,55,0.5882297403264591,0.0012926319190891492,0.0009561264146890205,14.090530430038045
2024-09,1487,56,0.610466961688545,0.0013492337592094531,0.000752230954397113,10.7589295472464
2024-10,1543,55,0.603616237690692,0.001002794613103798,0.0008302234493888374,14.75544852173402
2024-11,1598,56,0.7685180722583923,0.0006954738238380132,0.0005305955612903581,9.164667576196177
2024-12,1654,55,0.1479952603739635,0.0018471135823405237,0.0009516091516671432,13.426713018005076
2025-01,1709,56,-1.4564315951515674,0.0024931780931117032,0.0010173566410704845,14.702092981884384
2025-02,1765,55,0.5227647653557446,0.0009027283884434842,0.0007457135255990838,13.412612650456435
