month,train_size,test_size,r2,rmse,mae,smape
2022-11,281,56,0.44138198271946505,0.001123004388076302,0.0008917356894668986,15.157312978298007
2022-12,337,56,-0.028606902451081107,0.008207286127661348,0.002353603608269372,21.242519250774052
2023-01,393,54,-1.5668810298489517,0.00292423319016525,0.002153113852110785,31.28298886709186
2023-02,447,53,0.5070308873040102,0.0015935529014354174,0.0008899819552929842,12.864598141460526
2023-03,500,49,0.2659532315455502,0.00140975508196404,0.001209327095181333,20.7536515089269
2023-04,549,52,0.8198449137033784,0.0006999824543069181,0.0005809994627586425,10.340525192592628
2023-05,601,55,0.8257977198781389,0.0007184785162938231,0.0005396101540002015,9.942502968733319
2023-06,656,54,0.770433762811431,0.0007823379995860162,0.0006203316897581604,10.826535940742392
2023-07,710,56,0.5372700333951391,0.0016451444796856346,0.0009731073679649297,13.343224248166013
2023-08,766,55,0.6700961687522924,0.0011190016035939922,0.0008754974062150118,15.20846291053144
2023-09,821,55,0.7620714433340847,0.001032286468252721,0.0007438295701223674,11.269759760871956
2023-10,876,56,0.7174518380178505,0.0009716501961194255,0.000757071210668792,12.012453835921317
2023-11,932,56,0.6692594157703224,0.0008335089755895541,0.0007010169167525759,12.717422391765496
2023-12,988,56,0.23832671238198233,0.0016903207502771867,0.0010738777647557082,14.099325509235674
2024-01,1044,56,0.7043475607846854,0.0009153722536205433,0.0006361226015547292,10.426938698720111
2024-02,1100,56,0.4947129767244144,0.0011534410195673502,0.0008667697517043306,14.575786257747275
2024-03,1156,56,0.7708654204438897,0.0008097815824804968,0.0005392595346061276,9.25743438287305
2024-04,1212,54,0.7672913136298788,0.000768256479974327,0.0005712096058527257,10.087913984973833
2024-05,1266,54,0.6375089822859086,0.0008254905242297907,0.0006037305818202517,10.685836434236572
2024-06,1320,55,0.8673802211892285,0.0006202648481888292,0.00048826593706175365,8.789267115493379
2024-07,1375,57,0.5030007300836952,0.0016531712358522457,0.0010541361557199413,15.099166410071415
2024-08,1432,55,0.630204039900833,0.0012249785070600546,0.0008751277084768671,12.510980477014739
2024-09,1487,56,0.5735016032430811,0.0014118018656251049,0.0007409692200594399,10.164577208326877
2024-10,1543,55,0.6569090915736708,0.0009329506454205886,0.0007889891280160897,13.945902997441781
2024-11,1598,56,0.8211454950994751,0.0006113250403629668,0.00045808821375488233,8.129873029383653
2024-12,1654,55,0.4981466679911215,0.0014176238215606598,0.0009261662182114335,13.684744132259876
2025-01,1709,56,0.34797248434818484,0.0012844994615282966,0.0008830875923802424,15.076119328429805
2025-02,1765,55,0.42998001217639914,0.0009865881439079037,0.0007810896598979423,14.102823254514426
