pair,r2,mae,smape
trend_food_stamps + trend_apply_for_calfresh,0.753137710662735,0.0006819112700850689,11.564209908307802
trend_food_stamps + monthly_average_CalFresh,0.7518008620128859,0.0006826434758767507,11.612918872405496
trend_apply_for_calfresh + monthly_average_CalFresh,0.7501793755147911,0.0006857893789903482,11.592436157665604
trend_apply_for_calfresh + trend_snap_benefits,0.747940210581232,0.0006857476410432835,11.592784844179834
trend_food_stamps + trend_food_pantry_near_me,0.7478310612884286,0.0006939372059672255,11.863006413838981
trend_apply_for_calfresh + trend_food_pantry_near_me,0.7472180978454425,0.0006886598263112669,11.697799797038474
trend_food_stamps + trend_snap_benefits,0.7469923959460182,0.0006921652111857823,11.697624466056986
monthly_average_CalFresh + trend_snap_benefits,0.7455279173349605,0.0006894940353201817,11.646183509864862
trend_snap_benefits + trend_food_pantry_near_me,0.7442790947262026,0.0006949848419674282,11.822228314880254
monthly_average_CalFresh + trend_food_pantry_near_me,0.7441506898137669,0.0006965013631870276,11.872708921984271
