Model,Test_R2,Test_RMSE,Test_MAE,CV_R2_Mean,CV_R2_Std,CV_RMSE_Mean,CV_MAE_Mean
Current XGBoost,0.88473166483541,0.0006398415149110509,0.000480857236519194,-0.1930651601653579,1.0467317528375861,0.002218448624162901,0.0012081328673711363
Tuned XGBoost,0.6748109463100169,0.0010746953353053207,0.0006829209043683279,0.2587696711039417,0.1592335325189637,0.0019859302342329914,0.0012188928535976314
