"Time","snap topic"
"2022-06-26","48"
"2022-07-03","65"
"2022-07-10","0"
"2022-07-17","86"
"2022-07-24","49"
"2022-07-31","100"
"2022-08-07","60"
"2022-08-14","0"
"2022-08-21","68"
"2022-08-28","65"
"2022-09-04","67"
"2022-09-11","66"
"2022-09-18","75"
"2022-09-25","59"
"2022-10-02","76"
"2022-10-09","78"
"2022-10-16","49"
"2022-10-23","56"
"2022-10-30","42"
"2022-11-06","55"
"2022-11-13","70"
"2022-11-20","64"
"2022-11-27","48"
"2022-12-04","71"
"2022-12-11","46"
"2022-12-18","40"
"2022-12-25","0"
"2023-01-01","33"
"2023-01-08","57"
"2023-01-15","0"
"2023-01-22","52"
"2023-01-29","36"
"2023-02-05","42"
"2023-02-12","38"
"2023-02-19","42"
"2023-02-26","0"
"2023-03-05","43"
"2023-03-12","0"
"2023-03-19","53"
"2023-03-26","0"
"2023-04-02","45"
"2023-04-09","57"
"2023-04-16","42"
"2023-04-23","46"
"2023-04-30","0"
"2023-05-07","0"
"2023-05-14","50"
"2023-05-21","66"
"2023-05-28","58"
"2023-06-04","95"
"2023-06-11","62"
"2023-06-18","0"
"2023-06-25","52"
