county,date,deviation,label
Tulare,2018-04-01,-0.02749569083147316,Green
Tuolumne,2018-04-01,-0.08910541008631474,Green
Ventura,2018-04-01,0.15329102833074304,Red
Yolo,2018-04-01,0.1373844546664473,Green
Yuba,2018-04-01,-0.07420347521957353,Green
Alameda,2018-05-01,0.33147618416007457,Red
Alpine,2018-05-01,0.18345280435677555,Red
Amador,2018-05-01,-0.1815992244188975,Green
Butte,2018-05-01,-0.07063346715233612,Green
Calaveras,2018-05-01,0.017465253371108127,Green
Colusa,2018-05-01,0.039682810700904014,Green
Contra Costa,2018-05-01,-0.11058320147442814,Green
Del Norte,2018-05-01,0.4749348292585658,Red
El Dorado,2018-05-01,0.3443577679641055,Red
Fresno,2018-05-01,-0.00489189247937635,Green
Glenn,2018-05-01,-0.060466462743427186,Green
Humboldt,2018-05-01,0.24864258603463285,Red
Imperial,2018-05-01,-0.06974204833568665,Green
Inyo,2018-05-01,-0.1469968796092289,Green
Kern,2018-05-01,0.004394152267241989,Green
Kings,2018-05-01,-0.11419892111481288,Green
Lake,2018-05-01,0.05002725297644463,Green
Lassen,2018-05-01,-0.28065215424940193,Green
Los Angeles,2018-05-01,-0.008702531856850992,Green
Madera,2018-05-01,-0.16671139329064022,Green
Marin,2018-05-01,-0.09482274159072297,Green
Mariposa,2018-05-01,-0.25936180147227444,Green
Mendocino,2018-05-01,-0.07427891488103716,Green
Merced,2018-05-01,-0.08119541729836376,Green
Modoc,2018-05-01,-0.17689905656937063,Green
Mono,2018-05-01,-0.02949726609186593,Green
Monterey,2018-05-01,-0.21921195313055328,Green
Napa,2018-05-01,-0.13143149188216516,Green
Nevada,2018-05-01,0.12820290636750248,Yellow
Orange,2018-05-01,-0.023137302841075173,Green
Placer,2018-05-01,-0.3213265824538895,Green
Plumas,2018-05-01,-0.2434617129427443,Green
Riverside,2018-05-01,0.0023469149510652655,Green
Sacramento,2018-05-01,0.2625679857113466,Red
San Benito,2018-05-01,-0.29509620683179005,Green
San Bernardino,2018-05-01,0.1581913489568514,Yellow
San Diego,2018-05-01,0.012171619282452497,Green
San Francisco,2018-05-01,0.3710829426737747,Red
San Joaquin,2018-05-01,-0.11800376009940926,Green
San Luis Obispo,2018-05-01,-0.14254446741652294,Green
San Mateo,2018-05-01,-0.24567647767558198,Green
Santa Barbara,2018-05-01,0.1581857577984208,Green
Santa Clara,2018-05-01,-0.2986817793585814,Green
Santa Cruz,2018-05-01,-0.05048197018439886,Green
Shasta,2018-05-01,-0.11461637656200717,Green
Sierra,2018-05-01,-0.10718712960989657,Green
Siskiyou,2018-05-01,0.09430955554886111,Green
Solano,2018-05-01,0.2501674119088037,Red
Sonoma,2018-05-01,-0.13287100710576671,Green
Stanislaus,2018-05-01,0.10179764746288421,Green
Sutter,2018-05-01,-0.11582553274302652,Green
Tehama,2018-05-01,0.004319604823561248,Green
Trinity,2018-05-01,-0.03457474444019588,Green
Tulare,2018-05-01,-0.040759641428891075,Green
Tuolumne,2018-05-01,0.13109404259748625,Yellow
Ventura,2018-05-01,0.16430719854003992,Red
Yolo,2018-05-01,0.10974552614317071,Green
Yuba,2018-05-01,-0.023861439769857676,Green
Alameda,2018-06-01,0.21586499102145582,Yellow
Alpine,2018-06-01,0.15491239225151593,Yellow
Amador,2018-06-01,-0.03483710341243039,Green
Butte,2018-06-01,-0.030156229018671907,Green
Calaveras,2018-06-01,0.18726318289818067,Red
