"Time","food stamps"
"2022-06-26","57"
"2022-07-03","69"
"2022-07-10","71"
"2022-07-17","100"
"2022-07-24","60"
"2022-07-31","66"
"2022-08-07","72"
"2022-08-14","69"
"2022-08-21","60"
"2022-08-28","54"
"2022-09-04","79"
"2022-09-11","65"
"2022-09-18","64"
"2022-09-25","51"
"2022-10-02","81"
"2022-10-09","80"
"2022-10-16","56"
"2022-10-23","53"
"2022-10-30","56"
"2022-11-06","69"
"2022-11-13","95"
"2022-11-20","68"
"2022-11-27","57"
"2022-12-04","65"
"2022-12-11","80"
"2022-12-18","46"
"2022-12-25","44"
"2023-01-01","60"
"2023-01-08","66"
"2023-01-15","66"
"2023-01-22","67"
"2023-01-29","61"
"2023-02-05","78"
"2023-02-12","57"
"2023-02-19","47"
"2023-02-26","56"
"2023-03-05","55"
"2023-03-12","59"
"2023-03-19","69"
"2023-03-26","54"
"2023-04-02","44"
"2023-04-09","41"
"2023-04-16","51"
"2023-04-23","40"
"2023-04-30","53"
"2023-05-07","53"
"2023-05-14","46"
"2023-05-21","35"
"2023-05-28","50"
"2023-06-04","50"
"2023-06-11","55"
"2023-06-18","36"
"2023-06-25","51"
