"Time","CalFresh"
"2022-06-26",44
"2022-07-03",54
"2022-07-10",38
"2022-07-17",67
"2022-07-24",40
"2022-07-31",62
"2022-08-07",52
"2022-08-14",49
"2022-08-21",70
"2022-08-28",62
"2022-09-04",68
"2022-09-11",71
"2022-09-18",96
"2022-09-25",80
"2022-10-02",93
"2022-10-09",84
"2022-10-16",88
"2022-10-23",74
"2022-10-30",94
"2022-11-06",100
"2022-11-13",67
"2022-11-20",46
"2022-11-27",52
"2022-12-04",56
"2022-12-11",40
"2022-12-18",49
"2022-12-25",26
"2023-01-01",48
"2023-01-08",83
"2023-01-15",92
"2023-01-22",52
"2023-01-29",70
"2023-02-05",73
"2023-02-12",67
"2023-02-19",49
"2023-02-26",64
"2023-03-05",71
"2023-03-12",78
"2023-03-19",61
"2023-03-26",45
"2023-04-02",63
"2023-04-09",80
"2023-04-16",43
"2023-04-23",55
"2023-04-30",44
"2023-05-07",55
"2023-05-14",69
"2023-05-21",73
"2023-05-28",55
"2023-06-04",50
"2023-06-11",53
"2023-06-18",56
"2023-06-25",44
