"Time","CalFresh"
"2017-01-01",33
"2017-01-08",32
"2017-01-15",5
"2017-01-22",0
"2017-01-29",7
"2017-02-05",23
"2017-02-12",24
"2017-02-19",22
"2017-02-26",30
"2017-03-05",29
"2017-03-12",45
"2017-03-19",55
"2017-03-26",51
"2017-04-02",76
"2017-04-09",60
"2017-04-16",56
"2017-04-23",51
"2017-04-30",73
"2017-05-07",66
"2017-05-14",54
"2017-05-21",71
"2017-05-28",66
"2017-06-04",81
"2017-06-11",60
"2017-06-18",66
"2017-06-25",69
"2017-07-02",88
"2017-07-09",71
"2017-07-16",68
"2017-07-23",82
"2017-07-30",94
"2017-08-06",100
"2017-08-13",80
"2017-08-20",71
"2017-08-27",77
"2017-09-03",79
"2017-09-10",77
"2017-09-17",71
"2017-09-24",72
"2017-10-01",88
"2017-10-08",74
"2017-10-15",70
"2017-10-22",74
"2017-10-29",65
"2017-11-05",74
"2017-11-12",63
"2017-11-19",43
"2017-11-26",59
"2017-12-03",75
"2017-12-10",69
"2017-12-17",55
"2017-12-24",58
"2017-12-31",83
