"Time","Food bank"
"2022-06-26",58
"2022-07-03",0
"2022-07-10",48
"2022-07-17",46
"2022-07-24",56
"2022-07-31",39
"2022-08-07",46
"2022-08-14",44
"2022-08-21",41
"2022-08-28",45
"2022-09-04",31
"2022-09-11",33
"2022-09-18",52
"2022-09-25",67
"2022-10-02",50
"2022-10-09",46
"2022-10-16",25
"2022-10-23",33
"2022-10-30",38
"2022-11-06",38
"2022-11-13",43
"2022-11-20",38
"2022-11-27",31
"2022-12-04",48
"2022-12-11",52
"2022-12-18",59
"2022-12-25",0
"2023-01-01",42
"2023-01-08",37
"2023-01-15",40
"2023-01-22",44
"2023-01-29",45
"2023-02-05",37
"2023-02-12",53
"2023-02-19",26
"2023-02-26",51
"2023-03-05",55
"2023-03-12",59
"2023-03-19",72
"2023-03-26",55
"2023-04-02",53
"2023-04-09",55
"2023-04-16",64
"2023-04-23",73
"2023-04-30",63
"2023-05-07",45
"2023-05-14",26
"2023-05-21",86
"2023-05-28",74
"2023-06-04",60
"2023-06-11",53
"2023-06-18",68
"2023-06-25",100
