"Time","Food bank"
"2017-11-26",62
"2017-12-03",41
"2017-12-10",0
"2017-12-17",44
"2017-12-24",0
"2017-12-31",46
"2018-01-07",0
"2018-01-14",0
"2018-01-21",46
"2018-01-28",47
"2018-02-04",39
"2018-02-11",0
"2018-02-18",57
"2018-02-25",0
"2018-03-04",35
"2018-03-11",43
"2018-03-18",54
"2018-03-25",59
"2018-04-01",0
"2018-04-08",0
"2018-04-15",91
"2018-04-22",44
"2018-04-29",52
"2018-05-06",0
"2018-05-13",38
"2018-05-20",100
"2018-05-27",0
"2018-06-03",48
"2018-06-10",0
"2018-06-17",0
"2018-06-24",39
"2018-07-01",0
"2018-07-08",0
"2018-07-15",53
"2018-07-22",65
"2018-07-29",46
"2018-08-05",0
"2018-08-12",46
"2018-08-19",76
"2018-08-26",63
"2018-09-02",66
"2018-09-09",0
"2018-09-16",57
"2018-09-23",56
"2018-09-30",54
"2018-10-07",0
"2018-10-14",0
"2018-10-21",51
"2018-10-28",62
"2018-11-04",69
"2018-11-11",55
"2018-11-18",63
"2018-11-25",0
