"Time","Food bank"
"2017-01-01",0
"2017-01-08",0
"2017-01-15",0
"2017-01-22",0
"2017-01-29",51
"2017-02-05",55
"2017-02-12",0
"2017-02-19",0
"2017-02-26",0
"2017-03-05",0
"2017-03-12",0
"2017-03-19",0
"2017-03-26",60
"2017-04-02",74
"2017-04-09",0
"2017-04-16",0
"2017-04-23",66
"2017-04-30",0
"2017-05-07",0
"2017-05-14",0
"2017-05-21",55
"2017-05-28",0
"2017-06-04",0
"2017-06-11",0
"2017-06-18",79
"2017-06-25",75
"2017-07-02",0
"2017-07-09",0
"2017-07-16",0
"2017-07-23",65
"2017-07-30",0
"2017-08-06",0
"2017-08-13",61
"2017-08-20",67
"2017-08-27",100
"2017-09-03",0
"2017-09-10",0
"2017-09-17",0
"2017-09-24",75
"2017-10-01",74
"2017-10-08",0
"2017-10-15",0
"2017-10-22",70
"2017-10-29",51
"2017-11-05",68
"2017-11-12",70
"2017-11-19",0
"2017-11-26",79
"2017-12-03",52
"2017-12-10",0
"2017-12-17",56
"2017-12-24",0
"2017-12-31",58
