"Time","Food bank"
"2018-10-28",76
"2018-11-04",85
"2018-11-11",67
"2018-11-18",78
"2018-11-25",0
"2018-12-02",46
"2018-12-09",0
"2018-12-16",84
"2018-12-23",0
"2018-12-30",0
"2019-01-06",60
"2019-01-13",87
"2019-01-20",52
"2019-01-27",91
"2019-02-03",0
"2019-02-10",0
"2019-02-17",50
"2019-02-24",100
"2019-03-03",0
"2019-03-10",63
"2019-03-17",54
"2019-03-24",0
"2019-03-31",55
"2019-04-07",0
"2019-04-14",77
"2019-04-21",0
"2019-04-28",0
"2019-05-05",0
"2019-05-12",0
"2019-05-19",55
"2019-05-26",0
"2019-06-02",57
"2019-06-09",0
"2019-06-16",67
"2019-06-23",89
"2019-06-30",0
"2019-07-07",62
"2019-07-14",62
"2019-07-21",0
"2019-07-28",0
"2019-08-04",0
"2019-08-11",0
"2019-08-18",0
"2019-08-25",49
"2019-09-01",0
"2019-09-08",44
"2019-09-15",67
"2019-09-22",67
"2019-09-29",57
"2019-10-06",53
"2019-10-13",100
"2019-10-20",66
"2019-10-27",62
