"Time","snap topic"
"2021-08-01","40"
"2021-08-08","25"
"2021-08-15","32"
"2021-08-22","64"
"2021-08-29","47"
"2021-09-05","35"
"2021-09-12","53"
"2021-09-19","46"
"2021-09-26","45"
"2021-10-03","66"
"2021-10-10","49"
"2021-10-17","71"
"2021-10-24","48"
"2021-10-31","48"
"2021-11-07","72"
"2021-11-14","28"
"2021-11-21","22"
"2021-11-28","67"
"2021-12-05","50"
"2021-12-12","52"
"2021-12-19","52"
"2021-12-26","36"
"2022-01-02","68"
"2022-01-09","100"
"2022-01-16","82"
"2022-01-23","37"
"2022-01-30","73"
"2022-02-06","54"
"2022-02-13","61"
"2022-02-20","47"
"2022-02-27","61"
"2022-03-06","54"
"2022-03-13","47"
"2022-03-20","56"
"2022-03-27","50"
"2022-04-03","64"
"2022-04-10","72"
"2022-04-17","44"
"2022-04-24","47"
"2022-05-01","49"
"2022-05-08","61"
"2022-05-15","48"
"2022-05-22","38"
"2022-05-29","56"
"2022-06-05","58"
"2022-06-12","51"
"2022-06-19","46"
"2022-06-26","56"
"2022-07-03","44"
"2022-07-10","97"
"2022-07-17","58"
"2022-07-24","51"
"2022-07-31","52"
