"Time","food stamps","EBT card","SNAP benefits","food pantry near me","food bank","CalFresh","apply for CalFresh","Supplemental Nutrition Assistance Program"
"2023-05-01",43,8,9,0,45,0,0,91
"2023-06-01",39,8,11,0,39,9,0,88
"2023-07-01",46,13,0,0,33,8,0,88
"2023-08-01",45,16,0,0,38,0,0,94
"2023-09-01",46,13,0,0,52,0,0,99
"2023-10-01",43,9,9,0,40,0,0,100
"2023-11-01",37,12,9,0,50,0,0,74
"2023-12-01",33,9,0,0,50,14,0,74
"2024-01-01",44,10,0,0,44,8,0,87
"2024-02-01",38,0,0,0,40,0,0,78
"2024-03-01",39,9,10,0,34,0,0,79
"2024-04-01",35,0,0,0,36,11,0,80
"2024-05-01",34,9,0,0,37,0,0,72
"2024-06-01",33,10,0,0,37,0,0,58
"2024-07-01",33,0,0,0,29,12,0,69
"2024-08-01",45,10,0,0,38,11,0,85
"2024-09-01",38,11,9,0,39,0,0,82
"2024-10-01",40,10,0,0,36,16,0,87
"2024-11-01",41,10,0,0,40,10,0,69
"2024-12-01",28,9,0,0,43,11,0,69
"2025-01-01",47,13,0,0,35,9,0,100
"2025-02-01",36,0,11,0,35,10,0,90
"2025-03-01",35,0,0,0,27,10,0,77
"2025-04-01",40,9,15,0,33,0,0,83
"2025-05-01",42,11,13,0,38,0,0,86
"2025-06-01",27,14,0,0,40,21,0,74
