"Time","snap topic"
"2021-08-01","46"
"2021-08-08","33"
"2021-08-15","64"
"2021-08-22","45"
"2021-08-29","48"
"2021-09-05","32"
"2021-09-12","57"
"2021-09-19","32"
"2021-09-26","0"
"2021-10-03","39"
"2021-10-10","64"
"2021-10-17","0"
"2021-10-24","46"
"2021-10-31","35"
"2021-11-07","0"
"2021-11-14","45"
"2021-11-21","32"
"2021-11-28","51"
"2021-12-05","40"
"2021-12-12","38"
"2021-12-19","36"
"2021-12-26","38"
"2022-01-02","61"
"2022-01-09","0"
"2022-01-16","44"
"2022-01-23","48"
"2022-01-30","43"
"2022-02-06","72"
"2022-02-13","49"
"2022-02-20","41"
"2022-02-27","47"
"2022-03-06","86"
"2022-03-13","59"
"2022-03-20","57"
"2022-03-27","41"
"2022-04-03","52"
"2022-04-10","52"
"2022-04-17","47"
"2022-04-24","38"
"2022-05-01","63"
"2022-05-08","37"
"2022-05-15","51"
"2022-05-22","76"
"2022-05-29","51"
"2022-06-05","67"
"2022-06-12","68"
"2022-06-19","36"
"2022-06-26","31"
"2022-07-03","68"
"2022-07-10","100"
"2022-07-17","50"
"2022-07-24","57"
"2022-07-31","48"
