"Time","food stamps"
"2017-11-26","48"
"2017-12-03","61"
"2017-12-10","56"
"2017-12-17","44"
"2017-12-24","47"
"2017-12-31","69"
"2018-01-07","72"
"2018-01-14","65"
"2018-01-21","57"
"2018-01-28","68"
"2018-02-04","68"
"2018-02-11","100"
"2018-02-18","52"
"2018-02-25","56"
"2018-03-04","56"
"2018-03-11","56"
"2018-03-18","49"
"2018-03-25","46"
"2018-04-01","64"
"2018-04-08","64"
"2018-04-15","52"
"2018-04-22","52"
"2018-04-29","54"
"2018-05-06","63"
"2018-05-13","46"
"2018-05-20","48"
"2018-05-27","47"
"2018-06-03","65"
"2018-06-10","50"
"2018-06-17","63"
"2018-06-24","65"
"2018-07-01","64"
"2018-07-08","67"
"2018-07-15","58"
"2018-07-22","57"
"2018-07-29","56"
"2018-08-05","74"
"2018-08-12","54"
"2018-08-19","57"
"2018-08-26","59"
"2018-09-02","62"
"2018-09-09","64"
"2018-09-16","50"
"2018-09-23","53"
"2018-09-30","61"
"2018-10-07","65"
"2018-10-14","49"
"2018-10-21","47"
"2018-10-28","50"
"2018-11-04","59"
"2018-11-11","55"
"2018-11-18","34"
"2018-11-25","42"
