"Time","CalFresh"
"2023-05-28",59
"2023-06-04",71
"2023-06-11",64
"2023-06-18",58
"2023-06-25",67
"2023-07-02",80
"2023-07-09",73
"2023-07-16",71
"2023-07-23",73
"2023-07-30",86
"2023-08-06",82
"2023-08-13",88
"2023-08-20",88
"2023-08-27",96
"2023-09-03",100
"2023-09-10",86
"2023-09-17",90
"2023-09-24",80
"2023-10-01",92
"2023-10-08",76
"2023-10-15",66
"2023-10-22",73
"2023-10-29",84
"2023-11-05",81
"2023-11-12",65
"2023-11-19",52
"2023-11-26",74
"2023-12-03",83
"2023-12-10",68
"2023-12-17",58
"2023-12-24",61
"2023-12-31",74
"2024-01-07",89
"2024-01-14",76
"2024-01-21",69
"2024-01-28",81
"2024-02-04",91
"2024-02-11",74
"2024-02-18",75
"2024-02-25",80
"2024-03-03",74
"2024-03-10",72
"2024-03-17",68
"2024-03-24",60
"2024-03-31",79
"2024-04-07",67
"2024-04-14",59
"2024-04-21",53
"2024-04-28",76
"2024-05-05",63
"2024-05-12",58
"2024-05-19",61
"2024-05-26",64
