"Time","CalFresh"
"2018-10-28",48
"2018-11-04",60
"2018-11-11",67
"2018-11-18",43
"2018-11-25",65
"2018-12-02",51
"2018-12-09",58
"2018-12-16",49
"2018-12-23",31
"2018-12-30",44
"2019-01-06",59
"2019-01-13",81
"2019-01-20",64
"2019-01-27",69
"2019-02-03",53
"2019-02-10",56
"2019-02-17",60
"2019-02-24",60
"2019-03-03",60
"2019-03-10",54
"2019-03-17",47
"2019-03-24",46
"2019-03-31",71
"2019-04-07",66
"2019-04-14",60
"2019-04-21",54
"2019-04-28",75
"2019-05-05",51
"2019-05-12",58
"2019-05-19",58
"2019-05-26",63
"2019-06-02",88
"2019-06-09",65
"2019-06-16",65
"2019-06-23",75
"2019-06-30",67
"2019-07-07",82
"2019-07-14",66
"2019-07-21",88
"2019-07-28",93
"2019-08-04",89
"2019-08-11",92
"2019-08-18",81
"2019-08-25",91
"2019-09-01",91
"2019-09-08",88
"2019-09-15",72
"2019-09-22",79
"2019-09-29",100
"2019-10-06",68
"2019-10-13",63
"2019-10-20",71
"2019-10-27",86
