"Time","CalFresh"
"2022-06-26",47
"2022-07-03",69
"2022-07-10",72
"2022-07-17",64
"2022-07-24",58
"2022-07-31",56
"2022-08-07",65
"2022-08-14",45
"2022-08-21",84
"2022-08-28",33
"2022-09-04",53
"2022-09-11",54
"2022-09-18",39
"2022-09-25",90
"2022-10-02",87
"2022-10-09",90
"2022-10-16",67
"2022-10-23",70
"2022-10-30",71
"2022-11-06",74
"2022-11-13",89
"2022-11-20",67
"2022-11-27",85
"2022-12-04",54
"2022-12-11",66
"2022-12-18",0
"2022-12-25",59
"2023-01-01",45
"2023-01-08",100
"2023-01-15",50
"2023-01-22",71
"2023-01-29",71
"2023-02-05",77
"2023-02-12",62
"2023-02-19",66
"2023-02-26",72
"2023-03-05",58
"2023-03-12",60
"2023-03-19",72
"2023-03-26",52
"2023-04-02",60
"2023-04-09",0
"2023-04-16",64
"2023-04-23",74
"2023-04-30",59
"2023-05-07",40
"2023-05-14",50
"2023-05-21",42
"2023-05-28",59
"2023-06-04",90
"2023-06-11",48
"2023-06-18",41
"2023-06-25",0
