"Time","CalFresh"
"2020-08-30",76
"2020-09-06",68
"2020-09-13",41
"2020-09-20",42
"2020-09-27",47
"2020-10-04",47
"2020-10-11",0
"2020-10-18",52
"2020-10-25",73
"2020-11-01",57
"2020-11-08",88
"2020-11-15",57
"2020-11-22",0
"2020-11-29",71
"2020-12-06",88
"2020-12-13",52
"2020-12-20",0
"2020-12-27",44
"2021-01-03",99
"2021-01-10",55
"2021-01-17",53
"2021-01-24",43
"2021-01-31",47
"2021-02-07",74
"2021-02-14",0
"2021-02-21",0
"2021-02-28",0
"2021-03-07",66
"2021-03-14",56
"2021-03-21",51
"2021-03-28",49
"2021-04-04",0
"2021-04-11",0
"2021-04-18",55
"2021-04-25",0
"2021-05-02",51
"2021-05-09",59
"2021-05-16",0
"2021-05-23",0
"2021-05-30",0
"2021-06-06",63
"2021-06-13",75
"2021-06-20",0
"2021-06-27",47
"2021-07-04",82
"2021-07-11",100
"2021-07-18",53
"2021-07-25",0
"2021-08-01",57
"2021-08-08",58
"2021-08-15",53
"2021-08-22",92
"2021-08-29",61
