"Time","food stamps"
"2017-11-26","87"
"2017-12-03","100"
"2017-12-10","58"
"2017-12-17","60"
"2017-12-24","0"
"2017-12-31","82"
"2018-01-07","54"
"2018-01-14","0"
"2018-01-21","55"
"2018-01-28","0"
"2018-02-04","65"
"2018-02-11","56"
"2018-02-18","62"
"2018-02-25","54"
"2018-03-04","0"
"2018-03-11","0"
"2018-03-18","0"
"2018-03-25","0"
"2018-04-01","0"
"2018-04-08","0"
"2018-04-15","69"
"2018-04-22","62"
"2018-04-29","0"
"2018-05-06","0"
"2018-05-13","0"
"2018-05-20","0"
"2018-05-27","85"
"2018-06-03","0"
"2018-06-10","0"
"2018-06-17","0"
"2018-06-24","61"
"2018-07-01","73"
"2018-07-08","80"
"2018-07-15","76"
"2018-07-22","74"
"2018-07-29","0"
"2018-08-05","61"
"2018-08-12","54"
"2018-08-19","0"
"2018-08-26","0"
"2018-09-02","92"
"2018-09-09","0"
"2018-09-16","0"
"2018-09-23","0"
"2018-09-30","0"
"2018-10-07","0"
"2018-10-14","0"
"2018-10-21","65"
"2018-10-28","0"
"2018-11-04","73"
"2018-11-11","69"
"2018-11-18","0"
"2018-11-25","61"
