"Time","food bank near me"
"2017-01-01","0"
"2017-01-08","51"
"2017-01-15","42"
"2017-01-22","66"
"2017-01-29","37"
"2017-02-05","56"
"2017-02-12","51"
"2017-02-19","51"
"2017-02-26","0"
"2017-03-05","0"
"2017-03-12","38"
"2017-03-19","0"
"2017-03-26","48"
"2017-04-02","36"
"2017-04-09","0"
"2017-04-16","0"
"2017-04-23","80"
"2017-04-30","81"
"2017-05-07","0"
"2017-05-14","74"
"2017-05-21","51"
"2017-05-28","62"
"2017-06-04","36"
"2017-06-11","52"
"2017-06-18","65"
"2017-06-25","57"
"2017-07-02","43"
"2017-07-09","64"
"2017-07-16","83"
"2017-07-23","0"
"2017-07-30","50"
"2017-08-06","48"
"2017-08-13","50"
"2017-08-20","0"
"2017-08-27","39"
"2017-09-03","0"
"2017-09-10","0"
"2017-09-17","62"
"2017-09-24","0"
"2017-10-01","49"
"2017-10-08","54"
"2017-10-15","43"
"2017-10-22","74"
"2017-10-29","36"
"2017-11-05","43"
"2017-11-12","68"
"2017-11-19","56"
"2017-11-26","100"
"2017-12-03","70"
"2017-12-10","49"
"2017-12-17","68"
"2017-12-24","0"
"2017-12-31","0"
