"Time","food bank near me"
"2022-06-26","69"
"2022-07-03","68"
"2022-07-10","72"
"2022-07-17","77"
"2022-07-24","79"
"2022-07-31","70"
"2022-08-07","57"
"2022-08-14","52"
"2022-08-21","75"
"2022-08-28","64"
"2022-09-04","52"
"2022-09-11","47"
"2022-09-18","66"
"2022-09-25","76"
"2022-10-02","66"
"2022-10-09","53"
"2022-10-16","63"
"2022-10-23","71"
"2022-10-30","62"
"2022-11-06","66"
"2022-11-13","86"
"2022-11-20","100"
"2022-11-27","49"
"2022-12-04","66"
"2022-12-11","65"
"2022-12-18","50"
"2022-12-25","65"
"2023-01-01","50"
"2023-01-08","61"
"2023-01-15","47"
"2023-01-22","74"
"2023-01-29","48"
"2023-02-05","44"
"2023-02-12","48"
"2023-02-19","56"
"2023-02-26","46"
"2023-03-05","61"
"2023-03-12","39"
"2023-03-19","62"
"2023-03-26","56"
"2023-04-02","55"
"2023-04-09","36"
"2023-04-16","55"
"2023-04-23","65"
"2023-04-30","73"
"2023-05-07","44"
"2023-05-14","56"
"2023-05-21","76"
"2023-05-28","91"
"2023-06-04","71"
"2023-06-11","64"
"2023-06-18","73"
"2023-06-25","97"
