"Time","food bank near me"
"2018-10-28","53"
"2018-11-04","39"
"2018-11-11","69"
"2018-11-18","69"
"2018-11-25","63"
"2018-12-02","62"
"2018-12-09","46"
"2018-12-16","50"
"2018-12-23","76"
"2018-12-30","80"
"2019-01-06","74"
"2019-01-13","55"
"2019-01-20","67"
"2019-01-27","64"
"2019-02-03","71"
"2019-02-10","86"
"2019-02-17","93"
"2019-02-24","72"
"2019-03-03","57"
"2019-03-10","57"
"2019-03-17","64"
"2019-03-24","57"
"2019-03-31","42"
"2019-04-07","59"
"2019-04-14","70"
"2019-04-21","87"
"2019-04-28","89"
"2019-05-05","64"
"2019-05-12","57"
"2019-05-19","69"
"2019-05-26","84"
"2019-06-02","63"
"2019-06-09","58"
"2019-06-16","65"
"2019-06-23","87"
"2019-06-30","89"
"2019-07-07","83"
"2019-07-14","73"
"2019-07-21","84"
"2019-07-28","81"
"2019-08-04","79"
"2019-08-11","70"
"2019-08-18","89"
"2019-08-25","100"
"2019-09-01","48"
"2019-09-08","62"
"2019-09-15","70"
"2019-09-22","99"
"2019-09-29","73"
"2019-10-06","38"
"2019-10-13","50"
"2019-10-20","78"
"2019-10-27","97"
